mode_index,freq_from_hessian_cm1,freq_reference_cm1,abs_diff_cm1,omega2_raw
0,4.463955189755649,0.0,4.463955189755649,-7.327899352266053e-05
1,2.216956109722346,0.0,2.216956109722346,-1.8073989822695515e-05
2,0.7458209096367909,0.0,0.7458209096367909,-2.0455445989340206e-06
3,0.7431116923986436,0.0,0.7431116923986436,2.030710583975158e-06
4,1.9255016784614638,0.0,1.9255016784614638,1.3634136760835785e-05
5,3.6601275410289005,0.0,3.6601275410289005,4.926429601793031e-05
6,13.187144111836437,13.176257470772343,0.010886641064093538,0.0006395011760248402
7,19.89788656816541,19.796388882361843,0.10149768580356877,0.0014559744183393333
8,33.41193913780616,33.39650282928837,0.01543630851778488,0.004105283996073244
9,38.73007491649977,38.72867632268463,0.001398593815139293,0.0055161557111551435
10,42.77110176141245,42.76736131681264,0.003740444599813486,0.006727298805767065
11,51.33497567098712,51.32664038565941,0.008335285327710551,0.009690954711378761
12,59.43542820584529,59.43134899925011,0.00407920659517913,0.012990642607453303
13,64.0487956286719,64.04569251847931,0.003103110192583358,0.015085571872994898
14,70.30611782193567,70.30541158414714,0.000706237788534736,0.018177162016764187
15,75.81515968658388,75.8141370080224,0.0010226785614833034,0.021137418739913122
16,79.71923152661088,79.71815130921121,0.0010802173996751208,0.02337039485256904
17,92.46716168058546,92.46690871601135,0.0002529645741162767,0.031442342698158154
18,99.4442728845518,99.44388894693988,0.00038393761191457543,0.03636632337289908
19,103.83639017001285,103.83630753899416,8.263101868521971e-05,0.03964961788198965
20,114.11664698010088,114.11631944948549,0.0003275306153938118,0.047889229324154015
21,119.13996304473693,119.13986730851342,9.573622351410904e-05,0.05219810840921447
22,148.71384046635097,148.71373889019017,0.00010157616080164189,0.08132847359611249
23,151.94779561134735,151.94768780282035,0.00010780852699099341,0.08490409765868598
24,260.2923646915933,260.29234136180895,2.3329784369252593e-05,0.24915103790853513
25,268.47422798704304,268.4742031883523,2.47986907311315e-05,0.265060521044029
26,274.1498974244123,274.1498774786656,1.9945746714711277e-05,0.2763859858569929
27,281.52757354538846,281.5275472385716,2.630681689197445e-05,0.2914618501048604
28,286.9947060642562,286.9946790318963,2.703235992385089e-05,0.3028918685872589
29,295.01417702279923,295.0141522259014,2.4796897832857212e-05,0.32005573695330913
30,313.43332834455344,313.4332911360464,3.7208507023933635e-05,0.36126857985310873
31,319.03407987670505,319.0340539246532,2.5952051828426193e-05,0.37429497655789384
32,321.21156952628206,321.21151928757683,5.023870522791185e-05,0.37942173173057014
33,398.00403229676397,398.00400613376416,2.616299980218173e-05,0.5825252930782345
34,400.6059595485345,400.60593115165767,2.8396876814440475e-05,0.5901666367440026
35,410.03874125661196,410.0387154758483,2.5780763678540097e-05,0.6182863038609775
36,563.5520037489301,563.5519613180658,4.243086436872545e-05,1.1679058652927776
37,581.7310400361795,581.7309875102919,5.252588755411125e-05,1.2444696741537973
38,586.9350084895225,586.9349640774532,4.4412069314603286e-05,1.266834469346276
39,600.2214601662926,600.2214228608299,3.73054626834346e-05,1.3248383190438866
40,604.3761358325398,604.3760975877976,3.824474219982221e-05,1.3432426045299177
41,607.037984906396,607.0379436667719,4.123962412450055e-05,1.3551007261984649
42,618.404258539181,618.4042173678341,4.117134687930957e-05,1.4063220498532647
43,624.3513570467823,624.3513172198237,3.982695852755569e-05,1.433500876860001
44,628.682207938976,628.682168546549,3.939242708383972e-05,1.4534569818023197
45,665.0963111496768,665.096267571273,4.3578403847277514e-05,1.6267054478040301
46,740.9899592825857,740.9899095496293,4.973295642685116e-05,2.0191309656134555
47,770.1341124898726,770.1340600861813,5.240369125658617e-05,2.181084864617618
48,771.8645426226835,771.8644952073264,4.7415357130375924e-05,2.190897324788357
49,781.3667358775565,781.3666876158618,4.8261694701068336e-05,2.24517232444716
50,805.327894255816,805.3278430005289,5.12552870759464e-05,2.384983215833719
51,819.5856394673752,819.5855891512264,5.031614887229807e-05,2.4701795578502828
52,821.7045082870469,821.7044573032846,5.098376232126611e-05,2.4829683425370286
53,854.0947865894888,854.0947340659953,5.252349342299567e-05,2.6825756910939864
54,854.9862318259444,854.9861794260406,5.2399903779587476e-05,2.6881783884339407
55,859.716455945639,859.7164030394312,5.290620788400702e-05,2.718005444446287
56,866.0271513179949,866.0270955424944,5.5775500527488475e-05,2.758054597185004
57,871.3684538114175,871.3683971046623,5.6706755117374996e-05,2.792180624616617
58,877.4950525176696,877.494994656038,5.78616316033731e-05,2.831582345770564
59,880.2941019416825,880.2940457710242,5.617065824026213e-05,2.8496756210389576
60,885.4900173194505,885.4899621717685,5.514768201919651e-05,2.883415189145036
61,903.6061133023363,903.6060549845846,5.831775172282505e-05,3.00260472604422
62,920.7644436931402,920.7643863769938,5.731614635351434e-05,3.117718667351592
63,959.544800710972,959.5447415892688,5.912170320243604e-05,3.3858705973431933
64,961.1440757908969,961.144016908792,5.888210489501944e-05,3.397166476410241
65,962.7213180086668,962.721258975587,5.903307976495853e-05,3.408325158862712
66,1052.1975247443522,1052.1974590018553,6.57424968721898e-05,4.071312086666857
67,1053.0590789381185,1053.0590124470966,6.649102192568535e-05,4.077982111978671
68,1054.3408886913537,1054.340823104278,6.558707582371426e-05,4.087915796966793
69,1204.5416803332262,1204.5416070110766,7.332214954658411e-05,5.335602994155056
70,1220.4052836103908,1220.4052093303449,7.428004596476967e-05,5.477066340710224
71,1224.275355477988,1224.275280899328,7.457865990545542e-05,5.511858469797725
72,1242.141201333137,1242.141125510777,7.582235980407859e-05,5.673901312230822
73,1259.3616228386393,1259.3615458927404,7.694589885431924e-05,5.832312050489088
74,1269.102767560371,1269.1026902896115,7.727075944785611e-05,5.922886703752586
75,1331.3151223752022,1331.3150413981432,8.097705904219765e-05,6.517808154513888
76,1334.5289039778265,1334.5288226383777,8.13394487977348e-05,6.549313985526943
77,1347.3085266716055,1347.3084446209136,8.205069184441527e-05,6.675348740898248
78,1354.266203435614,1354.2661209557446,8.247986943388241e-05,6.744471501884777
79,1372.3585374113616,1372.358453591793,8.381956854464079e-05,6.925880911535772
80,1382.0404335113594,1382.0403492538403,8.425751912000123e-05,7.023948864055644
81,1454.6087062810343,1454.6086177390432,8.854199109009642e-05,7.78094253987943
82,1456.8400965609787,1456.8400079253825,8.863559628480289e-05,7.804833001278229
83,1462.281464515031,1462.281375453067,8.90619639903889e-05,7.86324473788751
84,1471.511338314237,1471.5112486123096,8.9701927436181e-05,7.962823115145232
85,1475.1893485297762,1475.1892587089112,8.982086501418962e-05,8.002678664382893
86,1486.8215874984796,1486.8214970094555,9.048902415997873e-05,8.12938251575236
87,1734.2211458352417,1734.2210401631073,0.00010567213439571788,11.059838816439811
88,1736.9929700910222,1736.9928643857068,0.00010570531549092266,11.095221187852536
89,1740.580659919046,1740.5805541268694,0.0001057921765550418,11.14110199676165
90,1748.2192521450127,1748.2191458339166,0.00010631109603309596,11.239102709034347
91,1755.851492982839,1755.8513859595084,0.00010702333065637504,11.337450537454004
92,1774.4416943220588,1774.4415864676898,0.0001078543689345679,11.578793539679557
93,1815.1016153524486,1815.1015049028974,0.00011044955112993193,12.115510811633559
94,1830.5855373410877,1830.5854259393893,0.0001114016984047339,12.323097841601493
95,1837.1350142854965,1837.1349026228415,0.00011166265494466643,12.411434852428458
96,3208.8715214252998,3208.871326437099,0.00019498820074659307,37.865570175239874
97,3209.212160262375,3209.2119652874094,0.00019497496577969287,37.873609866654775
98,3210.689627271501,3210.6894322204253,0.00019505107593431603,37.908490633104485
99,3215.7368104561824,3215.736615090444,0.00019536573836376192,38.027768111981565
100,3225.8861034065267,3225.885907423334,0.00019598319249780616,38.268188298200386
101,3226.738543358133,3226.738347266254,0.00019609187893365743,38.28841569720112
102,3226.795270856142,3226.7950748130984,0.00019604304361564573,38.28976196377242
103,3356.8808333311777,3356.880629352526,0.0002039786518253095,41.43923140548418
104,3369.985871065332,3369.9856662697593,0.00020479557269936777,41.76341493086337
105,3446.3769466107456,3446.3767372293264,0.00020938141915394226,43.67826672654051
106,3647.777687071787,3647.777465356906,0.00022171488126332406,48.93240570895569
107,3786.2647234292117,3786.2644934182936,0.00023001091813057428,52.718348078048336
