frequency_cm1,total_intensity,isotropic_intensity,anisotropic_intensity
3.2431656069751287,0.0,0.0,0.0
1.6658569201603162,0.0,0.0,0.0
4.075022793564109e-05,0.0,0.0,0.0
1.7921701816035137e-05,0.0,0.0,0.0
3.753950600670983e-05,0.0,0.0,0.0
0.25320098274860703,0.0,0.0,0.0
32.8578099854283,0.001469378194829358,1.972715168875505e-05,0.001449651043140603
37.20583256177515,0.002120514004007006,2.723590414995569e-05,0.00209327809985705
85.24460552767809,0.0015480285463926927,0.00016978123808772104,0.0013782473083049716
95.96043987983869,0.0014073375858877665,0.00017497985313952972,0.0012323577327482368
110.33122285935,0.0007433713953706159,0.00020416107932090847,0.0005392103160497074
151.09550551062347,0.00029369034700775645,4.944133932829728e-07,0.0002931959336144735
183.05814232320512,0.0008942671254797223,3.5488167114640434e-05,0.0008587789583650819
200.71554667345833,0.0006101738693170739,0.0004059655083624814,0.0002042083609545926
238.2540035743719,0.0017152534138170255,0.0016399990024570249,7.525441136000051e-05
302.4713121483325,0.008341078709004905,0.008138327554389821,0.00020275115461508363
311.35965050991155,0.0004907000064449352,1.5345325878154048e-05,0.0004753546805667812
342.22167776960015,0.004858626920821299,0.003540292850132809,0.0013183340706884893
412.2969325079379,0.004916251838156307,0.004133133283763053,0.0007831185543932546
458.295091280874,0.0011972485589016554,2.3360952432999828e-05,0.0011738876064686554
558.4985817855396,0.008185692349612262,0.0021861420510915805,0.0059995502985206815
700.0143497760463,0.006752020793812656,0.0002725055126194208,0.006479515281193235
782.1152485330807,0.002613793001208536,2.6444047313847863e-05,0.0025873489538946882
884.5726872210863,0.07174747058258664,0.06116100804262815,0.010586462539958489
955.1193501089044,0.024065758146629243,0.00028716148805225564,0.023778596658576987
973.9822430047406,0.021851937211141925,0.004677135268078376,0.01717480194306355
1068.8063191210945,0.014805285913890309,0.0014534984156139687,0.013351787498276339
1087.765687666248,0.01558844356981866,0.011708397451870748,0.0038800461179479117
1107.1511317542013,0.0029446673023143547,0.000355869183561144,0.0025887981187532106
1139.3181328016944,0.016538432104180767,0.0017271397775799778,0.014811292326600788
1158.7053800259375,0.021860341011553694,0.0014115184232888997,0.020448822588264793
1172.565168323013,0.00664249438997736,0.0005432389689461965,0.0060992554210311635
1176.457599702848,0.0034940484067614882,0.00016553160458329465,0.0033285168021781938
1180.335696124826,0.003435965503475115,0.0001375743791817119,0.003298391124293403
1183.2379404638618,0.0077273179339533895,0.0006617988158322276,0.007065519118121162
1211.9238122728661,0.00593856505336629,2.1188219524344274e-05,0.005917376833841946
1228.4295510142479,0.0027129298484445574,0.0007372302391145772,0.00197569960932998
1250.0884709886086,0.004048695132769206,0.0001179859426403011,0.003930709190128905
1280.6797832049372,0.00489450838856177,0.0012660011907752258,0.003628507197786544
1329.3884713894163,0.02310241291278377,0.0002675603566878708,0.0228348525560959
1335.6093431611414,0.013688125859298404,0.0024832148314498765,0.011204911027848527
1392.51658004887,0.01195330303995304,0.00029500299860055543,0.011658300041352484
1398.9593284414916,0.012287358079318422,0.0002620701291347806,0.012025287950183641
1422.4350342389305,0.009921689483731448,0.0029270058133207097,0.006994683670410739
1469.636757930292,0.01432641627690203,0.0024567761459956604,0.01186964013090637
1474.3059159818079,0.013619642388818725,0.005093202853660093,0.008526439535158633
1476.3642666722437,0.02183296795888634,0.00019803413408781134,0.02163493382479853
1480.200999785596,0.008841799233632415,1.536069798885792e-05,0.008826438535643556
1483.3579397512892,0.023836317798608612,0.00012814221406083287,0.02370817558454778
1486.7897802422808,0.028672165615088268,0.0012034521941716085,0.027468713420916658
1497.2699574195422,0.015031950615980321,0.0002580713942934026,0.014773879221686919
1498.660082466189,0.025080258666883657,6.156486278216422e-05,0.025018693804101492
1505.0692899602986,0.015560976527041696,0.00043518744780217725,0.015125789079239518
1507.964742904794,0.025196629189833585,7.84094254308499e-05,0.025118219764402736
1511.9160616859137,0.015799393317733435,0.00012178431550813653,0.0156776090022253
2937.319278120929,0.25051830427218813,0.11316254249891296,0.1373557617732752
3011.2841102586704,0.5770474207864142,0.560086776137496,0.016960644648918166
3018.2750103622884,0.6410836686284386,0.607358489134785,0.03372517949365356
3031.312106470396,0.7801372507494264,0.7281810480581424,0.05195620269128402
3050.5626586919934,0.5378419745466808,0.43036944890203216,0.10747252564464864
3059.753742796749,0.16363074747934805,0.00877845320388795,0.1548522942754601
3073.287110393899,0.176775771871211,0.00042486605530056245,0.17635090581591042
3088.9233582326374,0.5310323282805723,0.4993787531095876,0.03165357517098471
3107.91147907796,0.32742674999813914,0.1418308617856961,0.18559588821244308
3121.602088086713,0.34121971175350707,0.04548573727693442,0.2957339744765727
3139.692472989345,0.0823154513958816,0.0036648882926189298,0.07865056310326267
3143.1111161478175,0.49603579983694185,0.2024331290534639,0.29360267078347796
3150.399796367311,0.47125216391384733,0.14896026544507995,0.3222918984687674
3161.966221877769,0.37438336094186897,0.08117263632637951,0.29321072461548947
